ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad
61;1;-22.713.332.176.208.400;-47.628.660.220.652.800;542.801.513.671.875;2025-04-23T13:54:11Z;;;;;;;;;;;;;;;;;;;;
62;1;-22.713.332.260.027.500;-47.628.660.053.014.700;542.801.513.671.875;2025-04-23T13:54:16Z;;;;;;;;;;;;;;;;;;;;
63;1;-2.271.333.234.384.650;-47.628.659.969.195.700;542.801.513.671.875;2025-04-23T13:54:21Z;;;;;;;;;;;;;;;;;;;;
64;1;-22.713.332.511.484.600;-47.628.659.717.738.600;542.801.513.671.875;2025-04-23T13:54:26Z;;;;;;;;;;;;;;;;;;;;
65;1;-22.713.332.511.484.600;-47.628.659.717.738.600;542.801.513.671.875;2025-04-23T13:54:31Z;;;;;;;;;;;;;;;;;;;;
66;1;-22.713.332.511.484.600;-47.628.659.885.376.600;542.801.513.671.875;2025-04-23T13:54:36Z;;;;;;;;;;;;;;;;;;;;
67;1;-22.713.332.511.484.600;-47.628.660.136.833.700;542.801.513.671.875;2025-04-23T13:54:41Z;;;;;;;;;;;;;;;;;;;;
68;1;-22.713.332.511.484.600;-47.628.660.220.652.800;542.801.513.671.875;2025-04-23T13:54:46Z;;;;;;;;;;;;;;;;;;;;
69;1;-22.713.332.595.303.600;-4.762.866.030.447.180;542.801.513.671.875;2025-04-23T13:54:51Z;;;;;;;;;;;;;;;;;;;;
70;1;-22.713.332.595.303.600;-4.762.866.030.447.180;542.801.513.671.875;2025-04-23T13:54:56Z;;;;;;;;;;;;;;;;;;;;
71;1;-22.713.332.679.122.600;-47.628.660.220.652.800;542.801.513.671.875;2025-04-23T13:55:01Z;;;;;;;;;;;;;;;;;;;;
72;1;-22.713.332.595.303.600;-47.628.660.053.014.700;542.801.513.671.875;2025-04-23T13:55:06Z;;;;;;;;;;;;;;;;;;;;
73;1;-22.713.332.427.665.500;-47.628.660.053.014.700;542.801.513.671.875;2025-04-23T13:55:11Z;;;;;;;;;;;;;;;;;;;;
74;1;-22.713.332.427.665.500;-47.628.659.885.376.600;542.801.513.671.875;2025-04-23T13:55:16Z;;;;;;;;;;;;;;;;;;;;
75;1;-22.713.332.511.484.600;-47.628.659.969.195.700;542.801.513.671.875;2025-04-23T13:55:21Z;;;;;;;;;;;;;;;;;;;;
76;1;-22.713.332.595.303.600;-47.628.659.969.195.700;542.801.513.671.875;2025-04-23T13:55:26Z;;;;;;;;;;;;;;;;;;;;
77;1;-22.713.332.511.484.600;-47.628.659.969.195.700;542.801.513.671.875;2025-04-23T13:55:31Z;;;;;;;;;;;;;;;;;;;;
78;1;-22.713.332.511.484.600;-47.628.659.969.195.700;542.801.513.671.875;2025-04-23T13:55:36Z;;;;;;;;;;;;;;;;;;;;
79;1;-22.713.329.493.999.400;-47.628.657.622.262.800;542.801.513.671.875;2025-04-23T13:55:41Z;;;;;;;;;;;;;;;;;;;;
80;1;-22.713.329.661.637.500;-47.628.657.454.624.700;542.801.513.671.875;2025-04-23T13:55:46Z;;;;;;;;;;;;;;;;;;;;
81;1;-22.713.333.182.036.800;-47.628.659.550.100.500;542.801.513.671.875;2025-04-23T13:55:51Z;;;;;;;;;;;;;;;;;;;;
82;1;-22.713.333.182.036.800;-47.628.659.550.100.500;542.801.513.671.875;2025-04-23T13:55:56Z;;;;;;;;;;;;;;;;;;;;
83;1;-22.713.333.182.036.800;-47.628.659.717.738.600;542.801.513.671.875;2025-04-23T13:56:01Z;;;;;;;;;;;;;;;;;;;;
84;1;-22.713.333.098.217.800;-4.762.865.980.155.760;542.801.513.671.875;2025-04-23T13:56:06Z;;;;;;;;;;;;;;;;;;;;
85;1;-22.713.330.164.551.700;-47.628.657.957.538.900;542.801.513.671.875;2025-04-23T13:56:11Z;;;;;;;;;;;;;;;;;;;;
86;1;-22.713.329.577.818.500;-47.628.657.538.443.800;542.801.513.671.875;2025-04-23T13:56:16Z;;;;;;;;;;;;;;;;;;;;
87;1;-22.713.329.661.637.500;-47.628.657.538.443.800;542.801.513.671.875;2025-04-23T13:56:21Z;;;;;;;;;;;;;;;;;;;;
