metadata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;desc;time;keywords;minlat;minlon;maxlat;maxlon;;;;;;;;;;;;;;;;;;;;;
1;;;2025-04-24T19:37:39Z;;-22.713.504.172.861.500;-47.628.697.268.664.800;-22.713.288.003.578.700;-47.628.443.716.093.800;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
author;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;email;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
copyright;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
year;license;author;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metadataID;authorID;wptID;rteptID;trkptID;rteID;trkID;text;type;href;;;;;;;;;;;;;;;;;;;;
1;;;;;;;Garmin International;;http://www.garmin.com;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;cmt;desc;src;number;type;IsAutoNamed;DisplayColor;TransportationMode;TripName;Date;DayNumber;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rtept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;rteID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;DepartureTime;StopDuration;ArrivalTime;CalculationMode;ElevationMode;NamedRoad_Name;NamedRoad_Id;NamedRoad_ProductId;TransportationMode
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wpt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Proximity;Temperature;Depth;DisplayMode;Samples;Expiration;CreationTime;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Address;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wptID;StreetAddress1;StreetAddress2;City;State;Country;PostalCode;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PhoneNumber;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wptID;Category;value;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Categories;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wptID;Category;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;cmt;desc;src;number;type;DisplayColor;;;;;;;;;;;;;;;;;;;;;;
1;ACTIVE LOG 005;;;;;;Magenta;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trkseg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;trkID;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
trkpt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;trksegID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Temperature;Depth;wtemp;hr;cad;;;;
1;1;-22.713.401.075.452.500;-47.628.609.677.776.600;545.685.546.875;2025-04-24T17:52:17Z;;;;;;;;;;;;;;;;;;;;;;;;
2;1;-22.713.357.657.194.100;-47.628.664.411.604.400;547.608.154.296.875;2025-04-24T17:52:22Z;;;;;;;;;;;;;;;;;;;;;;;;
3;1;-22.713.369.224.220.500;-47.628.679.918.125.200;545.685.546.875;2025-04-24T17:52:27Z;;;;;;;;;;;;;;;;;;;;;;;;
4;1;-22.713.382.467.627.500;-47.628.697.268.664.800;5.403.983.154.296.870;2025-04-24T17:52:32Z;;;;;;;;;;;;;;;;;;;;;;;;
5;1;-22.713.386.407.122.000;-47.628.695.340.827.100;5.413.594.970.703.120;2025-04-24T17:52:37Z;;;;;;;;;;;;;;;;;;;;;;;;
6;1;-22.713.387.664.407.400;-47.628.688.970.580.600;5.418.402.099.609.370;2025-04-24T17:52:42Z;;;;;;;;;;;;;;;;;;;;;;;;
7;1;-22.713.387.664.407.400;-47.628.686.623.647.800;5.423.209.228.515.620;2025-04-24T17:52:47Z;;;;;;;;;;;;;;;;;;;;;;;;
8;1;-22.713.387.496.769.400;-47.628.686.036.914.500;5.423.209.228.515.620;2025-04-24T17:52:52Z;;;;;;;;;;;;;;;;;;;;;;;;
9;1;-22.713.387.664.407.400;-4.762.868.620.455.260;5.423.209.228.515.620;2025-04-24T17:52:57Z;;;;;;;;;;;;;;;;;;;;;;;;
10;1;-22.713.387.664.407.400;-47.628.686.120.733.600;5.423.209.228.515.620;2025-04-24T17:53:02Z;;;;;;;;;;;;;;;;;;;;;;;;
11;1;-22.713.387.496.769.400;-47.628.685.869.276.500;5.423.209.228.515.620;2025-04-24T17:53:07Z;;;;;;;;;;;;;;;;;;;;;;;;
12;1;-22.713.387.664.407.400;-47.628.683.438.524.600;5.423.209.228.515.620;2025-04-24T17:53:12Z;;;;;;;;;;;;;;;;;;;;;;;;
13;1;-22.713.387.496.769.400;-47.628.683.354.705.500;5.423.209.228.515.620;2025-04-24T17:53:17Z;;;;;;;;;;;;;;;;;;;;;;;;
14;1;-22.713.387.245.312.300;-47.628.683.019.429.400;5.423.209.228.515.620;2025-04-24T17:53:22Z;;;;;;;;;;;;;;;;;;;;;;;;
15;1;-22.713.387.161.493.300;-47.628.682.851.791.300;5.423.209.228.515.620;2025-04-24T17:53:27Z;;;;;;;;;;;;;;;;;;;;;;;;
16;1;-22.713.387.245.312.300;-47.628.682.935.610.400;5.418.402.099.609.370;2025-04-24T17:53:32Z;;;;;;;;;;;;;;;;;;;;;;;;
17;1;-22.713.387.161.493.300;-47.628.682.851.791.300;5.418.402.099.609.370;2025-04-24T17:53:37Z;;;;;;;;;;;;;;;;;;;;;;;;
18;1;-2.271.338.707.767.420;-47.628.682.684.153.300;5.418.402.099.609.370;2025-04-24T17:53:42Z;;;;;;;;;;;;;;;;;;;;;;;;
19;1;-22.713.367.464.020.800;-47.628.669.105.470.100;5.418.402.099.609.370;2025-04-24T17:53:47Z;;;;;;;;;;;;;;;;;;;;;;;;
20;1;-22.713.333.768.770.000;-47.628.631.303.086.800;5.403.983.154.296.870;2025-04-24T17:53:52Z;;;;;;;;;;;;;;;;;;;;;;;;
21;1;-22.713.314.322.754.700;-47.628.563.409.671.100;5.399.176.025.390.620;2025-04-24T17:53:57Z;;;;;;;;;;;;;;;;;;;;;;;;
22;1;-22.713.337.959.721.600;-47.628.490.570.932.600;5.394.368.896.484.370;2025-04-24T17:54:02Z;;;;;;;;;;;;;;;;;;;;;;;;
23;1;-22.713.400.321.081.200;-47.628.472.466.021.700;5.384.757.080.078.120;2025-04-24T17:54:07Z;;;;;;;;;;;;;;;;;;;;;;;;
24;1;-22.713.466.286.659.200;-47.628.520.494.326.900;5.384.757.080.078.120;2025-04-24T17:54:12Z;;;;;;;;;;;;;;;;;;;;;;;;
25;1;-2.271.346.528.083.080;-47.628.612.276.166.600;538.956.298.828.125;2025-04-24T17:54:17Z;;;;;;;;;;;;;;;;;;;;;;;;
26;1;-22.713.405.098.766.000;-47.628.660.639.747.900;538.956.298.828.125;2025-04-24T17:54:22Z;;;;;;;;;;;;;;;;;;;;;;;;
27;1;-22.713.327.147.066.500;-476.286.387.629.807;538.956.298.828.125;2025-04-24T17:54:27Z;;;;;;;;;;;;;;;;;;;;;;;;
28;1;-22.713.288.003.578.700;-47.628.550.250.083.200;538.956.298.828.125;2025-04-24T17:54:32Z;;;;;;;;;;;;;;;;;;;;;;;;
29;1;-22.713.321.363.553.400;-47.628.469.783.812.700;538.956.298.828.125;2025-04-24T17:54:37Z;;;;;;;;;;;;;;;;;;;;;;;;
30;1;-22.713.406.523.689.600;-47.628.463.162.109.200;5.394.368.896.484.370;2025-04-24T17:54:42Z;;;;;;;;;;;;;;;;;;;;;;;;
31;1;-2.271.346.771.158.270;-4.762.853.130.698.200;5.384.757.080.078.120;2025-04-24T17:54:47Z;;;;;;;;;;;;;;;;;;;;;;;;
32;1;-2.271.345.941.349.860;-47.628.619.819.879.500;5.384.757.080.078.120;2025-04-24T17:54:52Z;;;;;;;;;;;;;;;;;;;;;;;;
33;1;-22.713.388.754.054.900;-47.628.668.770.194.000;5.379.949.951.171.870;2025-04-24T17:54:57Z;;;;;;;;;;;;;;;;;;;;;;;;
34;1;-22.713.316.921.144.700;-47.628.633.566.200.700;5.375.142.822.265.620;2025-04-24T17:55:02Z;;;;;;;;;;;;;;;;;;;;;;;;
35;1;-22.713.296.804.577.100;-47.628.545.723.855.400;5.379.949.951.171.870;2025-04-24T17:55:07Z;;;;;;;;;;;;;;;;;;;;;;;;
36;1;-22.713.339.133.188.100;-47.628.476.237.878.200;5.384.757.080.078.120;2025-04-24T17:55:12Z;;;;;;;;;;;;;;;;;;;;;;;;
37;1;-22.713.421.359.658.200;-47.628.474.310.040.400;5.379.949.951.171.870;2025-04-24T17:55:17Z;;;;;;;;;;;;;;;;;;;;;;;;
38;1;-22.713.469.304.144.300;-47.628.545.304.760.300;5.375.142.822.265.620;2025-04-24T17:55:22Z;;;;;;;;;;;;;;;;;;;;;;;;
39;1;-22.713.449.774.309.900;-47.628.628.369.420.700;5.375.142.822.265.620;2025-04-24T17:55:27Z;;;;;;;;;;;;;;;;;;;;;;;;
40;1;-2.271.337.291.225.790;-4.762.865.636.497.730;5.379.949.951.171.870;2025-04-24T17:55:32Z;;;;;;;;;;;;;;;;;;;;;;;;
41;1;-22.713.308.203.965.400;-47.628.604.983.910.900;5.379.949.951.171.870;2025-04-24T17:55:37Z;;;;;;;;;;;;;;;;;;;;;;;;
42;1;-22.713.301.414.623.800;-47.628.517.393.022.700;5.379.949.951.171.870;2025-04-24T17:55:42Z;;;;;;;;;;;;;;;;;;;;;;;;
43;1;-22.713.366.374.373.400;-47.628.461.066.633.400;5.379.949.951.171.870;2025-04-24T17:55:47Z;;;;;;;;;;;;;;;;;;;;;;;;
44;1;-22.713.449.355.214.800;-47.628.483.278.676.800;5.379.949.951.171.870;2025-04-24T17:55:52Z;;;;;;;;;;;;;;;;;;;;;;;;
45;1;-22.713.484.643.027.100;-47.628.564.080.223.400;5.379.949.951.171.870;2025-04-24T17:55:57Z;;;;;;;;;;;;;;;;;;;;;;;;
46;1;-227.134.511.154.145;-47.628.645.887.598.300;5.379.949.951.171.870;2025-04-24T17:56:02Z;;;;;;;;;;;;;;;;;;;;;;;;
47;1;-22.713.367.464.020.800;-47.628.657.622.262.800;5.384.757.080.078.120;2025-04-24T17:56:07Z;;;;;;;;;;;;;;;;;;;;;;;;
48;1;-22.713.302.420.452.200;-47.628.594.674.170.000;5.384.757.080.078.120;2025-04-24T17:56:12Z;;;;;;;;;;;;;;;;;;;;;;;;
49;1;-22.713.310.047.984.100;-47.628.504.484.891.800;5.394.368.896.484.370;2025-04-24T17:56:17Z;;;;;;;;;;;;;;;;;;;;;;;;
50;1;-22.713.381.126.523.000;-4.762.845.846.824.340;5.399.176.025.390.620;2025-04-24T17:56:22Z;;;;;;;;;;;;;;;;;;;;;;;;
51;1;-22.713.459.581.136.700;-47.628.486.128.523.900;5.399.176.025.390.620;2025-04-24T17:56:27Z;;;;;;;;;;;;;;;;;;;;;;;;
52;1;-22.713.484.559.208.100;-47.628.580.760.210.700;5.394.368.896.484.370;2025-04-24T17:56:32Z;;;;;;;;;;;;;;;;;;;;;;;;
53;1;-22.713.433.597.236.800;-47.628.652.341.663.800;5.399.176.025.390.620;2025-04-24T17:56:37Z;;;;;;;;;;;;;;;;;;;;;;;;
54;1;-22.713.357.154.279.900;-47.628.654.772.415.700;5.399.176.025.390.620;2025-04-24T17:56:42Z;;;;;;;;;;;;;;;;;;;;;;;;
55;1;-22.713.302.504.271.200;-47.628.582.939.505.500;5.399.176.025.390.620;2025-04-24T17:56:47Z;;;;;;;;;;;;;;;;;;;;;;;;
56;1;-22.713.320.441.544.000;-47.628.490.068.018.400;5.394.368.896.484.370;2025-04-24T17:56:52Z;;;;;;;;;;;;;;;;;;;;;;;;
57;1;-22.713.388.754.054.900;-47.628.457.378.596.000;5.403.983.154.296.870;2025-04-24T17:56:57Z;;;;;;;;;;;;;;;;;;;;;;;;
58;1;-22.713.464.191.183.400;-4.762.850.440.107.280;5.399.176.025.390.620;2025-04-24T17:57:02Z;;;;;;;;;;;;;;;;;;;;;;;;
59;1;-22.713.478.775.694.900;-47.628.595.344.722.200;5.403.983.154.296.870;2025-04-24T17:57:07Z;;;;;;;;;;;;;;;;;;;;;;;;
60;1;-22.713.422.868.400.800;-4.762.865.737.080.570;54.087.890.625;2025-04-24T17:57:12Z;;;;;;;;;;;;;;;;;;;;;;;;
61;1;-22.713.334.690.779.400;-47.628.637.673.333.200;5.403.983.154.296.870;2025-04-24T17:57:17Z;;;;;;;;;;;;;;;;;;;;;;;;
62;1;-22.713.298.900.052.900;-47.628.553.099.930.200;54.087.890.625;2025-04-24T17:57:22Z;;;;;;;;;;;;;;;;;;;;;;;;
63;1;-22.713.335.696.607.800;-47.628.476.908.430.400;5.403.983.154.296.870;2025-04-24T17:57:27Z;;;;;;;;;;;;;;;;;;;;;;;;
64;1;-2.271.341.641.433.530;-47.628.462.743.014.000;5.403.983.154.296.870;2025-04-24T17:57:32Z;;;;;;;;;;;;;;;;;;;;;;;;
65;1;-22.713.477.350.771.400;-47.628.520.745.784.000;5.403.983.154.296.870;2025-04-24T17:57:37Z;;;;;;;;;;;;;;;;;;;;;;;;
66;1;-2.271.347.600.966.690;-47.628.605.319.187.000;5.403.983.154.296.870;2025-04-24T17:57:42Z;;;;;;;;;;;;;;;;;;;;;;;;
67;1;-22.713.404.260.575.700;-47.628.657.538.443.800;5.403.983.154.296.870;2025-04-24T17:57:47Z;;;;;;;;;;;;;;;;;;;;;;;;
68;1;-22.713.328.907.266.200;-47.628.625.435.754.600;5.403.983.154.296.870;2025-04-24T17:57:52Z;;;;;;;;;;;;;;;;;;;;;;;;
