"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				";;;;;;;;;;;
"1	1	-22.713.475.339.114.600	-47.628.267.528.489.200	627.397.705.078.125	2025-04-23T18:09:54Z																								";;;;;;;;;;;
"2	1	-22.713.442.984.968.400	-47.628.420.330.584.000	58.702.197.265.625	2025-04-23T18:09:59Z																								";;;;;;;;;;;
"3	1	-22.713.390.681.892.600	-47.628.602.385.520.900	555.779.296.875	2025-04-23T18:10:04Z																								";;;;;;;;;;;
"4	1	-22.713.394.621.387.100	-47.628.595.931.455.400	55.481.787.109.375	2025-04-23T18:10:09Z																								";;;;;;;;;;;
"5	1	-22.713.398.141.786.400	-47.628.578.580.915.900	556.260.009.765.625	2025-04-23T18:10:14Z																								";;;;;;;;;;;
"6	1	-22.713.404.595.851.800	-4.762.858.453.206.710	55.481.787.109.375	2025-04-23T18:10:19Z																								";;;;;;;;;;;
"7	1	-22.713.416.665.792.400	-47.628.583.526.238.700	5.533.759.765.625	2025-04-23T18:10:24Z																								";;;;;;;;;;;
"8	1	-22.713.403.590.023.500	-47.628.592.411.056.100	551.453.369.140.625	2025-04-23T18:10:29Z																								";;;;;;;;;;;
"9	1	-22.713.365.703.821.100	-47.628.594.087.436.700	547.608.154.296.875	2025-04-23T18:10:34Z																								";;;;;;;;;;;
"10	1	-22.713.336.618.617.100	-47.628.587.214.276.100	5.437.628.173.828.120	2025-04-23T18:10:39Z																								";;;;;;;;;;;
"11	1	-22.713.317.340.239.800	-47.628.570.199.012.700	5.413.594.970.703.120	2025-04-23T18:10:44Z																								";;;;;;;;;;;
"12	1	-22.713.310.467.079.200	-47.628.533.318.638.800	5.384.757.080.078.120	2025-04-23T18:10:49Z																								";;;;;;;;;;;
"13	1	-22.713.333.014.398.800	-4.762.848.143.465.810	5.379.949.951.171.870	2025-04-23T18:10:54Z																								";;;;;;;;;;;
"14	1	-22.713.406.607.508.600	-47.628.456.875.681.800	538.956.298.828.125	2025-04-23T18:10:59Z																								";;;;;;;;;;;
"15	1	-22.713.486.487.045.800	-47.628.498.198.464.500	5.399.176.025.390.620	2025-04-23T18:11:04Z																								";;;;;;;;;;;
"16	1	-22.713.505.178.689.900	-47.628.579.083.830.100	5.399.176.025.390.620	2025-04-23T18:11:09Z																								";;;;;;;;;;;
"17	1	-22.713.451.702.147.700	-47.628.643.037.751.300	5.403.983.154.296.870	2025-04-23T18:11:14Z																								";;;;;;;;;;;
"18	1	-22.713.373.834.267.200	-47.628.633.733.838.700	5.399.176.025.390.620	2025-04-23T18:11:19Z																								";;;;;;;;;;;
"19	1	-22.713.323.878.124.300	-47.628.561.733.290.500	538.956.298.828.125	2025-04-23T18:11:24Z																								";;;;;;;;;;;
"20	1	-22.713.347.179.815.100	-47.628.482.859.581.700	5.394.368.896.484.370	2025-04-23T18:11:29Z																								";;;;;;;;;;;
