metadata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;desc;time;keywords;minlat;minlon;maxlat;maxlon;;;;;;;;;;;;;;;;;;;;;
1;;;2025-04-26T19:49:32Z;;-22.713.548.680.767.400;-47.629.348.710.179.300;-21.956.938.588.991.700;-47.215.710.757.300.200;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
author;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;email;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
copyright;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
year;license;author;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
link;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metadataID;authorID;wptID;rteptID;trkptID;rteID;trkID;text;type;href;;;;;;;;;;;;;;;;;;;;
1;;;;;;;Garmin International;;http://www.garmin.com;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;name;cmt;desc;src;number;type;IsAutoNamed;DisplayColor;TransportationMode;TripName;Date;DayNumber;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
rtept;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;rteID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;DepartureTime;StopDuration;ArrivalTime;CalculationMode;ElevationMode;NamedRoad_Name;NamedRoad_Id;NamedRoad_ProductId;TransportationMode
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wpt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;lat;lon;ele;time;magvar;geoidheight;name;cmt;desc;src;sym;type;fix;sat;hdop;vdop;pdop;ageofdgpsdata;dgpsid;Proximity;Temperature;Depth;DisplayMode;Samples;Expiration;CreationTime;;;
1;-21.961.997.151.374.800;-47.469.489.052.891.700;66.751.611.328.125;2025-04-26T19:43:27Z;;;1;10/21/2014 14:35;10/21/2014 14:35;;Flag, Blue;user;;;;;;;;;;;SymbolAndName;;;2025-04-26T19:43:27Z;;;
