"ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad				"
"1	1	-22.713.351.957.499.900	-4.762.858.017.347.750	557.221.435.546.875	2025-04-25T12:07:26Z																								"
"2	1	-22.713.358.327.746.300	-47.628.717.301.413.400	54.712.744.140.625	2025-04-25T12:07:31Z																								"
"3	1	-2.271.335.824.392.730	-47.628.619.903.698.500	556.260.009.765.625	2025-04-25T12:07:36Z																								"
"4	1	-2.271.335.581.317.540	-47.628.616.131.842.100	55.674.072.265.625	2025-04-25T12:07:41Z																								"
"5	1	-22.713.363.859.802.400	-47.628.625.016.659.400	555.298.583.984.375	2025-04-25T12:07:46Z																								"
"6	1	-22.713.369.810.953.700	-47.628.636.918.962.000	55.241.455.078.125	2025-04-25T12:07:51Z																								"
"7	1	-22.713.365.200.906.900	-47.628.616.215.661.100	5.533.759.765.625	2025-04-25T12:07:56Z																								"
"8	1	-22.713.363.273.069.200	-47.628.622.334.450.400	552.895.263.671.875	2025-04-25T12:08:01Z																								"
"9	1	-22.713.363.273.069.200	-4.762.862.216.681.240	552.895.263.671.875	2025-04-25T12:08:06Z																								"
"10	1	-22.713.363.273.069.200	-47.628.621.831.536.200	552.895.263.671.875	2025-04-25T12:08:11Z																								"
"11	1	-22.713.363.356.888.200	-4.762.862.166.389.820	552.895.263.671.875	2025-04-25T12:08:16Z																								"
"12	1	-22.713.363.105.431.100	-47.628.621.496.260.100	552.895.263.671.875	2025-04-25T12:08:21Z																								"
"13	1	-22.713.362.937.793.100	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:08:26Z																								"
"14	1	-22.713.362.853.974.100	-47.628.621.496.260.100	552.895.263.671.875	2025-04-25T12:08:31Z																								"
"15	1	-22.713.362.770.155.000	-47.628.621.496.260.100	552.895.263.671.875	2025-04-25T12:08:36Z																								"
"16	1	-22.713.362.602.517.000	-47.628.621.580.079.100	552.895.263.671.875	2025-04-25T12:08:41Z																								"
"17	1	-22.713.362.518.697.900	-47.628.621.580.079.100	552.895.263.671.875	2025-04-25T12:08:46Z																								"
"18	1	-22.713.362.434.878.900	-47.628.621.496.260.100	552.895.263.671.875	2025-04-25T12:08:51Z																								"
"19	1	-22.713.362.351.059.900	-47.628.621.496.260.100	552.895.263.671.875	2025-04-25T12:08:56Z																								"
"20	1	-22.713.362.267.240.800	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:09:01Z																								"
"21	1	-22.713.362.099.602.800	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:09:06Z																								"
"22	1	-22.713.361.764.326.600	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:09:11Z																								"
"23	1	-22.713.361.596.688.600	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:09:16Z																								"
"24	1	-22.713.361.512.869.500	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:09:21Z																								"
"25	1	-22.713.361.512.869.500	-47.628.620.993.345.900	552.895.263.671.875	2025-04-25T12:09:26Z																								"
"26	1	-22.713.361.429.050.500	-47.628.620.825.707.900	552.895.263.671.875	2025-04-25T12:09:31Z																								"
"27	1	-22.713.361.345.231.500	-47.628.620.741.888.800	552.895.263.671.875	2025-04-25T12:09:36Z																								"
"28	1	-22.713.361.261.412.500	-47.628.620.574.250.800	552.895.263.671.875	2025-04-25T12:09:41Z																								"
"29	1	-2.271.336.117.759.340	-47.628.620.490.431.700	552.895.263.671.875	2025-04-25T12:09:46Z																								"
"30	1	-22.713.361.093.774.400	-47.628.620.574.250.800	552.895.263.671.875	2025-04-25T12:09:51Z																								"
"31	1	-22.713.360.842.317.300	-47.628.620.155.155.600	552.895.263.671.875	2025-04-25T12:09:56Z																								"
"32	1	-22.713.360.339.403.100	-47.628.620.322.793.700	552.895.263.671.875	2025-04-25T12:10:01Z																								"
"33	1	-2.271.335.975.266.990	-47.628.620.574.250.800	552.895.263.671.875	2025-04-25T12:10:06Z																								"
"34	1	-22.713.358.998.298.600	-47.628.620.741.888.800	552.895.263.671.875	2025-04-25T12:10:11Z																								"
"35	1	-22.713.358.495.384.400	-47.628.620.658.069.800	552.895.263.671.875	2025-04-25T12:10:16Z																								"
"36	1	-22.713.358.327.746.300	-47.628.620.322.793.700	552.895.263.671.875	2025-04-25T12:10:21Z																								"
"37	1	-22.713.358.160.108.300	-47.628.620.406.612.700	552.895.263.671.875	2025-04-25T12:10:26Z																								"
"38	1	-22.713.357.908.651.200	-47.628.620.490.431.700	552.895.263.671.875	2025-04-25T12:10:31Z																								"
"39	1	-22.713.357.741.013.100	-47.628.620.406.612.700	552.895.263.671.875	2025-04-25T12:10:36Z																								"
"40	1	-22.713.357.573.375.100	-47.628.620.658.069.800	552.895.263.671.875	2025-04-25T12:10:41Z																								"
"41	1	-22.713.357.489.556.000	-47.628.620.825.707.900	552.895.263.671.875	2025-04-25T12:10:46Z																								"
"42	1	-22.713.357.405.737.000	-47.628.620.993.345.900	552.895.263.671.875	2025-04-25T12:10:51Z																								"
"43	1	-22.713.357.154.279.900	-47.628.620.993.345.900	552.895.263.671.875	2025-04-25T12:10:56Z																								"
"44	1	-22.713.356.902.822.800	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:11:01Z																								"
"45	1	-22.713.356.902.822.800	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:11:06Z																								"
"46	1	-2.271.335.681.900.380	-47.628.621.328.622.100	552.895.263.671.875	2025-04-25T12:11:11Z																								"
"47	1	-22.713.356.651.365.700	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:11:16Z																								"
"48	1	-22.713.356.483.727.600	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:11:21Z																								"
"49	1	-22.713.356.483.727.600	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:11:26Z																								"
"50	1	-22.713.356.399.908.600	-47.628.621.328.622.100	552.895.263.671.875	2025-04-25T12:11:31Z																								"
"51	1	-2.271.335.631.608.960	-47.628.621.412.441.100	552.895.263.671.875	2025-04-25T12:11:36Z																								"
"52	1	-22.713.355.980.813.500	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:11:41Z																								"
"53	1	-22.713.355.729.356.400	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:11:46Z																								"
"54	1	-22.713.355.477.899.300	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:11:51Z																								"
"55	1	-22.713.355.394.080.200	-47.628.621.160.984.000	552.895.263.671.875	2025-04-25T12:11:56Z																								"
"56	1	-2.271.335.531.026.120	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:12:01Z																								"
"57	1	-22.713.355.226.442.200	-47.628.620.993.345.900	552.895.263.671.875	2025-04-25T12:12:06Z																								"
"58	1	-22.713.355.058.804.100	-47.628.621.077.165.000	552.895.263.671.875	2025-04-25T12:12:11Z																								"
"59	1	-22.713.354.891.166.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:16Z																								"
"60	1	-22.713.354.807.347.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:21Z																								"
"61	1	-22.713.354.807.347.000	-47.628.621.244.803.000	552.895.263.671.875	2025-04-25T12:12:26Z																								"
