ID	trksegID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Temperature	Depth	wtemp	hr	cad
1	1	-22.713.417.336.344.700	-47.628.632.811.829.400	54.424.365.234.375	2025-04-25T18:47:53Z																				
2	1	-22.713.396.046.310.600	-47.628.668.686.375.000	546.166.259.765.625	2025-04-25T18:47:58Z																				
3	1	-22.713.392.358.273.200	-47.628.689.305.856.800	5.447.242.431.640.620	2025-04-25T18:48:03Z																				
4	1	-22.713.384.395.465.200	-47.628.667.848.184.700	545.204.833.984.375	2025-04-25T18:48:08Z																				
5	1	-22.713.385.401.293.600	-47.628.657.035.529.600	542.801.513.671.875	2025-04-25T18:48:13Z																				
6	1	-2.271.339.294.500.640	-4.762.865.879.572.920	542.801.513.671.875	2025-04-25T18:48:18Z																				
7	1	-22.713.395.711.034.500	-47.628.657.035.529.600	5.418.402.099.609.370	2025-04-25T18:48:23Z																				
8	1	-22.713.398.057.967.400	-47.628.654.520.958.600	5.418.402.099.609.370	2025-04-25T18:48:28Z																				
9	1	-22.713.396.800.681.900	-47.628.654.101.863.500	5.418.402.099.609.370	2025-04-25T18:48:33Z																				
10	1	-22.713.396.633.043.800	-47.628.654.101.863.500	5.418.402.099.609.370	2025-04-25T18:48:38Z																				
11	1	-22.713.396.633.043.800	-4.762.865.393.422.540	5.418.402.099.609.370	2025-04-25T18:48:44Z																				
12	1	-22.713.397.638.872.200	-47.628.652.509.301.900	5.418.402.099.609.370	2025-04-25T18:48:49Z																				
13	1	-22.713.397.638.872.200	-47.628.652.509.301.900	5.418.402.099.609.370	2025-04-25T18:48:54Z																				
14	1	-22.713.397.722.691.200	-47.628.652.593.120.900	5.418.402.099.609.370	2025-04-25T18:48:59Z																				
15	1	-22.713.397.387.415.100	-47.628.652.174.025.700	5.418.402.099.609.370	2025-04-25T18:49:04Z																				
16	1	-22.713.397.219.777.100	-47.628.652.090.206.700	5.418.402.099.609.370	2025-04-25T18:49:09Z																				
17	1	-22.713.397.052.139.000	-47.628.652.090.206.700	5.418.402.099.609.370	2025-04-25T18:49:14Z																				
18	1	-22.713.396.800.681.900	-47.628.652.006.387.700	5.418.402.099.609.370	2025-04-25T18:49:19Z																				
19	1	-2.271.336.411.125.950	-47.628.634.572.029.100	5.418.402.099.609.370	2025-04-25T18:49:24Z																				
20	1	-22.713.342.905.044.500	-47.628.610.013.052.800	5.413.594.970.703.120	2025-04-25T18:49:29Z																				
21	1	-22.713.336.618.617.100	-47.628.574.976.697.500	5.403.983.154.296.870	2025-04-25T18:49:34Z																				
22	1	-22.713.343.491.777.700	-47.628.549.747.169.000	54.087.890.625	2025-04-25T18:49:39Z																				
