latitude,longitude,angle_deg
-22.7132894027668,-47.6285677,0.0
-22.713289406265964,-47.62856683063444,0.5
-22.713289416763192,-47.628565961335084,1.0
-22.713289434257685,-47.62856509216813,1.5
-22.71328945874811,-47.62856422319978,2.0
-22.713289490232604,-47.6285633544962,2.5
-22.713289528708763,-47.62856248612355,3.0
-22.713289574173665,-47.62856161814795,3.5
-22.71328962662384,-47.62856075063551,4.0
-22.7132896860553,-47.62855988365229,4.5
-22.713289752463517,-47.628559017264315,5.0
-22.713289825843432,-47.62855815153757,5.5
-22.71328990618946,-47.62855728653797,6.0
-22.71328999349548,-47.62855642233139,6.5
-22.713290087754842,-47.62855555898366,7.0
-22.713290188960368,-47.62855469656051,7.5
-22.713290297104358,-47.628553835127626,8.0
-22.713290412178566,-47.628552974750605,8.5
-22.713290534174234,-47.62855211549496,9.0
-22.713290663082073,-47.628551257426146,9.5
-22.713290798892263,-47.62855040060949,10.0
-22.713290941594465,-47.62854954511026,10.5
-22.71329109117781,-47.62854869099359,11.0
-22.713291247630902,-47.62854783832452,11.5
-22.71329141094183,-47.62854698716801,12.0
-22.71329158109816,-47.62854613758885,12.5
-22.713291758086932,-47.628545289651754,13.0
-22.713291941894667,-47.6285444434213,13.5
-22.71329213250737,-47.62854359896191,14.0
-22.71329232991052,-47.62854275633792,14.5
-22.71329253408909,-47.62854191561348,15.0
-22.713292745027523,-47.62854107685262,15.5
-22.71329296270976,-47.62854024011922,16.0
-22.713293187119227,-47.628539405477,16.5
-22.71329341823883,-47.62853857298951,17.0
-22.713293656050972,-47.628537742720155,17.5
-22.713293900537536,-47.628536914732166,18.0
-22.713294151679907,-47.62853608908859,18.5
-22.713294409458964,-47.628535265852314,19.0
-22.71329467385507,-47.62853444508602,19.5
-22.71329494484809,-47.62853362685222,20.0
-22.713295222417393,-47.62853281121322,20.5
-22.713295506541836,-47.62853199823113,21.0
-22.71329579719978,-47.62853118796787,21.5
-22.7132960943691,-47.62853038048515,22.0
-22.713296398027154,-47.62852957584445,22.5
-22.71329670815082,-47.62852877410705,23.0
-22.713297024716486,-47.628527975334016,23.5
-22.713297347700042,-47.628527179586165,24.0
-22.713297677076888,-47.6285263869241,24.5
-22.713298012821944,-47.628525597408185,25.0
-22.713298354909643,-47.62852481109854,25.5
-22.713298703313928,-47.62852402805506,26.0
-22.713299058008275,-47.628523248337366,26.5
-22.713299418965665,-47.62852247200483,27.0
-22.71329978615861,-47.62852169911659,27.5
-22.713300159559157,-47.62852092973149,28.0
-22.713300539138856,-47.628520163908135,28.5
-22.71330092486881,-47.62851940170483,29.0
-22.713301316719644,-47.628518643179625,29.5
-22.71330171466151,-47.62851788839029,30.0
-22.71330211866411,-47.628517137394304,30.5
-22.713302528696676,-47.628516390248855,31.0
-22.71330294472798,-47.62851564701084,31.5
-22.713303366726343,-47.62851490773687,32.0
-22.713303794659627,-47.62851417248323,32.5
-22.71330422849524,-47.62851344130591,33.0
-22.71330466820015,-47.62851271426061,33.5
-22.713305113740862,-47.62851199140268,34.0
-22.71330556508346,-47.62851127278718,34.5
-22.71330602219356,-47.62851055846883,35.0
-22.71330648503636,-47.62850984850203,35.5
-22.713306953576605,-47.62850914294084,36.0
-22.71330742777862,-47.628508441839,36.5
-22.713307907606293,-47.628507745249905,37.0
-22.713308393023077,-47.62850705322659,37.5
-22.713308883992013,-47.628506365821764,38.0
-22.713309380475707,-47.628505683087766,38.5
-22.71330988243635,-47.628505005076605,39.0
-22.71331038983572,-47.6285043318399,39.5
-22.71331090263517,-47.62850366342892,40.0
-22.71331142079565,-47.628502999894586,40.5
-22.71331194427771,-47.62850234128741,41.0
-22.71331247304147,-47.62850168765755,41.5
-22.713313007046672,-47.62850103905479,42.0
-22.713313546252646,-47.62850039552851,42.5
-22.713314090618333,-47.628499757127734,43.0
-22.713314640102272,-47.62849912390107,43.5
-22.71331519466262,-47.62849849589674,44.0
-22.713315754257145,-47.62849787316257,44.5
-22.713316318843233,-47.62849725574599,45.0
-22.713316888377886,-47.62849664369401,45.5
-22.713317462817738,-47.62849603705324,46.0
-22.713318042119035,-47.62849543586988,46.5
-22.713318626237665,-47.62849484018972,47.0
-22.713319215129143,-47.62849425005811,47.5
-22.713319808748626,-47.62849366552,48.0
-22.713320407050908,-47.6284930866199,48.5
-22.71332100999042,-47.628492513401895,49.0
-22.713321617521252,-47.628491945909644,49.5
-22.713322229597136,-47.62849138418636,50.0
-22.713322846171458,-47.62849082827483,50.5
-22.713323467197267,-47.62849027821737,51.0
-22.713324092627268,-47.628489734055876,51.5
-22.71332472241383,-47.6284891958318,52.0
-22.713325356508996,-47.62848866358611,52.5
-22.713325994864476,-47.628488137359355,53.0
-22.713326637431653,-47.6284876171916,53.5
-22.7133272841616,-47.62848710312246,54.0
-22.71332793500506,-47.62848659519109,54.5
-22.71332858991247,-47.62848609343616,55.0
-22.71332924883396,-47.62848559789589,55.5
-22.713329911719345,-47.62848510860801,56.0
-22.71333057851815,-47.62848462560979,56.5
-22.71333124917959,-47.62848414893799,57.0
-22.713331923652593,-47.628483678628946,57.5
-22.7133326018858,-47.62848321471844,58.0
-22.713333283827552,-47.62848275724183,58.5
-22.713333969425925,-47.62848230623393,59.0
-22.713334658628703,-47.6284818617291,59.5
-22.7133353513834,-47.62848142376119,60.0
-22.713336047637267,-47.628480992363535,60.5
-22.713336747337273,-47.628480567569014,61.0
-22.713337450430135,-47.62848014940997,61.5
-22.713338156862314,-47.62847973791823,62.0
-22.71333886658001,-47.62847933312515,62.5
-22.713339579529176,-47.628478935061544,63.0
-22.713340295655517,-47.62847854375774,63.5
-22.713341014904497,-47.62847815924352,64.0
-22.71334173722134,-47.62847778154818,64.5
-22.713342462551047,-47.62847741070048,65.0
-22.713343190838373,-47.628477046728655,65.5
-22.71334392202786,-47.62847668966043,66.0
-22.713344656063825,-47.628476339523,66.5
-22.713345392890368,-47.62847599634301,67.0
-22.713346132451374,-47.62847566014663,67.5
-22.71334687469053,-47.628475330959425,68.0
-22.7133476195513,-47.62847500880648,68.5
-22.71334836697697,-47.628474693712334,69.0
-22.713349116910617,-47.628474385700976,69.5
-22.71334986929513,-47.62847408479586,70.0
-22.713350624073215,-47.62847379101991,70.5
-22.71335138118739,-47.62847350439549,71.0
-22.713352140579996,-47.62847322494442,71.5
-22.713352902193208,-47.62847295268801,72.0
-22.71335366596902,-47.62847268764696,72.5
-22.71335443184927,-47.62847242984147,73.0
-22.713355199775638,-47.62847217929118,73.5
-22.713355969689633,-47.62847193601515,74.0
