latitude,longitude,angle_deg
-22.7133151027668,-47.628654,0.0
-22.713315106265963,-47.62865313063428,0.5
-22.71331511676319,-47.62865226133476,1.0
-22.713315134257684,-47.62865139216764,1.5
-22.71331515874811,-47.62865052319913,2.0
-22.713315190232603,-47.62864965449538,2.5
-22.713315228708762,-47.62864878612257,3.0
-22.713315274173663,-47.628647918146804,3.5
-22.71331532662384,-47.62864705063421,4.0
-22.7133153860553,-47.62864618365082,4.5
-22.713315452463515,-47.62864531726269,5.0
-22.71331552584343,-47.62864445153577,5.5
-22.713315606189457,-47.628643586536015,6.0
-22.713315693495478,-47.628642722329275,6.5
-22.71331578775484,-47.62864185898138,7.0
-22.713315888960366,-47.62864099655807,7.5
-22.713315997104356,-47.628640135125025,8.0
-22.713316112178564,-47.62863927474784,8.5
-22.713316234174233,-47.628638415492034,9.0
-22.713316363082072,-47.62863755742306,9.5
-22.71331649889226,-47.62863670060624,10.0
-22.713316641594464,-47.62863584510685,10.5
-22.713316791177807,-47.628634990990015,11.0
-22.7133169476309,-47.6286341383208,11.5
-22.71331711094183,-47.628633287164114,12.0
-22.71331728109816,-47.6286324375848,12.5
-22.71331745808693,-47.62863158964755,13.0
-22.713317641894665,-47.62863074341693,13.5
-22.713317832507368,-47.628629898957385,14.0
-22.713318029910518,-47.62862905633323,14.5
-22.713318234089087,-47.628628215608636,15.0
-22.71331844502752,-47.628627376847625,15.5
-22.71331866270976,-47.62862654011406,16.0
-22.713318887119225,-47.628625705471684,16.5
-22.71331911823883,-47.62862487298404,17.0
-22.71331935605097,-47.628624042714534,17.5
-22.713319600537535,-47.62862321472639,18.0
-22.713319851679906,-47.62862238908266,18.5
-22.713320109458962,-47.628621565846224,19.0
-22.71332037385507,-47.62862074507978,19.5
-22.71332064484809,-47.62861992684582,20.0
-22.71332092241739,-47.62861911120667,20.5
-22.713321206541835,-47.62861829822443,21.0
-22.71332149719978,-47.628617487961016,21.5
-22.713321794369097,-47.628616680478146,22.0
-22.713322098027152,-47.62861587583729,22.5
-22.71332240815082,-47.62861507409975,23.0
-22.713322724716484,-47.628614275326555,23.5
-22.71332304770004,-47.628613479578554,24.0
-22.713323377076886,-47.62861268691634,24.5
-22.713323712821943,-47.628611897400276,25.0
-22.71332405490964,-47.62861111109049,25.5
-22.713324403313926,-47.62861032804686,26.0
-22.713324758008273,-47.62860954832902,26.5
-22.713325118965663,-47.62860877199634,27.0
-22.71332548615861,-47.628607999107956,27.5
-22.713325859559156,-47.62860722972271,28.0
-22.713326239138855,-47.6286064638992,28.5
-22.71332662486881,-47.62860570169576,29.0
-22.713327016719642,-47.628604943170416,29.5
-22.71332741466151,-47.62860418838094,30.0
-22.71332781866411,-47.62860343738481,30.5
-22.713328228696675,-47.62860269023923,31.0
-22.71332864472798,-47.62860194700107,31.5
-22.71332906672634,-47.62860120772696,32.0
-22.713329494659625,-47.628600472473174,32.5
-22.713329928495238,-47.62859974129573,33.0
-22.713330368200147,-47.628599014250284,33.5
-22.71333081374086,-47.62859829139222,34.0
-22.713331265083458,-47.628597572776584,34.5
-22.71333172219356,-47.6285968584581,35.0
-22.713332185036357,-47.62859614849117,35.5
-22.713332653576604,-47.62859544292985,36.0
-22.71333312777862,-47.628594741827875,36.5
-22.71333360760629,-47.62859404523864,37.0
-22.713334093023075,-47.6285933532152,37.5
-22.71333458399201,-47.628592665810245,38.0
-22.713335080475705,-47.62859198307612,38.5
-22.713335582436347,-47.62859130506483,39.0
-22.713336089835718,-47.628590631828,39.5
-22.713336602635167,-47.6285899634169,40.0
-22.71333712079565,-47.628589299882435,40.5
-22.713337644277708,-47.62858864127514,41.0
-22.713338173041468,-47.628587987645155,41.5
-22.71333870704667,-47.62858733904227,42.0
-22.713339246252644,-47.62858669551588,42.5
-22.71333979061833,-47.62858605711498,43.0
-22.71334034010227,-47.6285854238882,43.5
-22.71334089466262,-47.62858479588375,44.0
-22.713341454257144,-47.62858417314946,44.5
-22.713342018843232,-47.62858355573277,45.0
-22.713342588377884,-47.62858294368067,45.5
-22.713343162817736,-47.62858233703978,46.0
-22.713343742119033,-47.628581735856315,46.5
-22.713344326237664,-47.62858114017604,47.0
-22.71334491512914,-47.62858055004432,47.5
-22.713345508748624,-47.6285799655061,48.0
-22.713346107050906,-47.62857938660589,48.5
-22.713346709990418,-47.62857881338778,49.0
-22.71334731752125,-47.628578245895426,49.5
-22.713347929597134,-47.628577684172036,50.0
-22.713348546171456,-47.628577128260396,50.5
-22.713349167197265,-47.62857657820283,51.0
-22.713349792627266,-47.62857603404124,51.5
-22.71335042241383,-47.62857549581705,52.0
-22.713351056508994,-47.62857496357127,52.5
-22.713351694864475,-47.62857443734441,53.0
-22.71335233743165,-47.62857391717656,53.5
-22.7133529841616,-47.62857340310733,54.0
-22.71335363500506,-47.628572895175864,54.5
-22.71335428991247,-47.62857239342084,55.0
-22.71335494883396,-47.62857189788048,55.5
-22.713355611719344,-47.6285714085925,56.0
-22.713356278518148,-47.62857092559419,56.5
-22.713356949179587,-47.62857044892231,57.0
-22.71335762365259,-47.62856997861317,57.5
-22.713358301885798,-47.62856951470258,58.0
-22.71335898382755,-47.62856905722588,58.5
-22.713359669425923,-47.6285686062179,59.0
-22.7133603586287,-47.628568161712984,59.5
-22.713361051383398,-47.628567723744986,60.0
-22.713361747637265,-47.628567292347256,60.5
-22.71336244733727,-47.62856686755266,61.0
-22.713363150430133,-47.628566449393524,61.5
-22.713363856862312,-47.62856603790171,62.0
-22.713364566580008,-47.62856563310856,62.5
-22.713365279529175,-47.62856523504488,63.0
-22.713365995655515,-47.628564843740996,63.5
-22.713366714904495,-47.62856445922671,64.0
-22.71336743722134,-47.628564081531295,64.5
-22.713368162551046,-47.62856371068352,65.0
-22.71336889083837,-47.62856334671164,65.5
-22.71336962202786,-47.62856298964334,66.0
-22.713370356063823,-47.628562639505844,66.5
-22.713371092890366,-47.628562296325796,67.0
-22.713371832451372,-47.62856196012934,67.5
-22.713372574690528,-47.62856163094208,68.0
-22.713373319551298,-47.62856130878908,68.5
-22.713374066976968,-47.62856099369487,69.0
-22.713374816910616,-47.62856068568345,69.5
-22.713375569295128,-47.62856038477828,70.0
-22.713376324073213,-47.62856009100228,70.5
-22.71337708118739,-47.6285598043778,71.0
-22.713377840579994,-47.628559524926686,71.5
-22.713378602193206,-47.628559252670215,72.0
-22.71337936596902,-47.62855898762912,72.5
-22.71338013184927,-47.62855872982359,73.0
-22.713380899775636,-47.628558479273245,73.5
-22.713381669689632,-47.628558235997176,74.0
-22.713382441532634,-47.6285580000139,74.5
-22.713383215245855,-47.628557771341406,75.0
-22.713383990770378,-47.62855754999709,75.5
-22.713384768047142,-47.62855733599782,76.0
-22.71338554701696,-47.62855712935988,76.5
-22.7133863276205,-47.62855693009902,77.0
-22.713387109798322,-47.62855673823041,77.5
-22.713387893490864,-47.62855655376866,78.0
-22.713388678638438,-47.628556376727815,78.5
-22.713389465181255,-47.62855620712136,79.0
-22.713390253059416,-47.62855604496222,79.5
-22.713391042212923,-47.628555890262724,80.0
-22.713391832581674,-47.62855574303467,80.5
-22.713392624105484,-47.628555603289264,81.0
-22.713393416724077,-47.628555471037146,81.5
-22.713394210377086,-47.62855534628839,82.0
-22.713395005004074,-47.628555229052495,82.5
-22.71339580054453,-47.628555119338394,83.0
-22.713396596937866,-47.62855501715444,83.5
-22.713397394123437,-47.62855492250841,84.0
-22.71339819204053,-47.62855483540751,84.5
